,Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,Ips,Cpu_brand,HDD,SSD
317,6,2,4,8,1.45,24503.472,0,0,5,0,0
318,2,2,8,3,1.95,52214.4,0,0,1,0,256
319,3,2,4,3,1.4,25840.8,0,0,5,0,0
320,2,2,8,3,1.48,68837.76,0,0,2,0,256
321,6,2,4,3,2.79,31381.92,0,0,1,1000,0
322,4,2,8,3,2.0,58288.32,0,0,2,0,256
323,2,2,8,3,2.1,48058.56,0,1,2,1000,0
324,3,2,8,3,2.2,35111.52,0,0,3,0,256
325,6,2,4,3,1.44,15557.76,0,0,5,0,0
326,3,2,6,3,2.23,29250.72,0,0,1,1000,0
327,4,1,8,3,1.7,55938.672,0,0,2,0,256
328,2,1,8,3,1.26,71128.8,0,0,2,0,256
329,5,2,32,3,2.06,140605.91999999998,1,0,2,0,1000
330,8,4,8,3,2.7,63882.72,0,0,2,1000,256
331,10,2,8,3,2.0,50243.04,0,1,1,0,256
332,4,2,8,3,2.0,71075.52,0,0,2,1000,256
333,6,2,4,3,1.85,23922.72,0,0,4,1000,0
334,4,4,8,3,2.5,53226.72,0,0,2,0,256
335,2,2,8,3,1.48,67559.04,0,0,1,0,256
336,5,1,8,3,1.9,55890.72,0,1,1,1000,128
337,2,2,8,3,1.84,60952.32,0,0,1,0,256
338,4,2,4,5,2.0,14651.4672,0,0,5,1000,0
339,5,2,8,3,2.0,60885.72,0,0,1,0,256
340,5,2,4,5,2.2,14646.672,0,0,5,500,0
341,6,2,12,3,2.2,47898.72,0,0,3,2000,0
342,2,2,8,3,2.1,38148.48,0,1,4,1000,0
343,6,5,16,3,1.4,111834.72,1,1,2,0,512
344,5,1,8,3,1.2,84129.12,0,0,2,0,256
345,6,4,16,3,2.4,60153.12,0,1,2,2000,256
346,2,2,2,3,1.44,14865.12,0,0,5,0,0
347,5,1,16,3,1.88,85672.1088,0,0,2,0,768
348,4,5,4,3,1.5,19980.0,1,0,5,0,0
349,5,1,8,3,1.9,35324.64,0,0,1,1000,0
350,5,2,16,3,2.06,108020.9376,1,0,2,0,512
351,2,2,8,3,1.84,69477.12,0,0,2,0,256
352,8,4,8,3,2.7,75071.52,0,0,2,1000,128
353,2,6,8,3,2.6,92615.0256,0,0,2,0,256
354,10,2,16,3,2.4,74751.84,0,1,2,0,512
355,5,2,8,3,2.02,51729.55199999999,0,0,2,2000,128
356,6,2,4,2,2.2,17155.627200000003,0,0,5,1000,0
357,5,4,8,3,2.65,53226.72,0,0,1,1000,0
358,5,2,8,3,2.36,29696.6736,1,0,1,2000,0
359,5,2,8,3,1.36,76030.56,0,0,1,0,256
360,2,2,4,3,1.86,23389.92,0,0,4,500,0
361,4,2,8,3,2.0,50349.6,0,0,1,0,256
362,6,2,6,3,2.8,38308.32,0,0,1,1000,128
363,2,2,8,3,1.86,34045.92,0,0,1,1000,0
364,6,2,8,2,2.2,26586.72,0,0,4,0,256
365,2,2,8,3,2.04,20725.92,0,0,5,2000,0
366,5,2,8,3,2.8,57808.8,0,0,1,1000,128
367,6,4,8,2,2.4,43103.52,0,1,1,1000,128
368,5,2,8,3,2.33,47898.72,0,0,2,0,256
369,2,1,8,3,1.36,93240.0,0,1,2,0,256
370,4,5,12,3,2.26,58554.72,1,0,2,2000,512
371,3,2,4,3,2.1,22697.28,0,0,3,0,128
372,4,4,16,3,3.25,117162.72,0,1,3,1000,256
373,6,2,4,3,2.6,26053.92,0,0,3,0,128
374,5,5,8,3,1.62,46300.85279999999,1,0,2,0,256
375,2,2,4,3,1.91,26053.3872,0,0,3,0,256
376,6,3,4,3,1.59,29463.84,0,1,5,0,128
377,5,2,4,3,1.8,16463.52,0,0,5,500,0
378,4,2,4,3,1.5,15238.08,0,0,5,0,0
379,3,2,8,5,2.4,45074.88,0,0,2,1000,0
380,2,4,8,3,3.35,63456.48,0,1,2,1000,128
381,6,2,4,2,1.85,21498.48,0,0,4,0,128
382,4,4,8,3,2.3,88178.4,0,1,2,1000,128
383,6,2,8,3,1.5,58554.72,0,1,1,0,256
384,4,1,16,3,1.1,93181.392,1,0,2,0,512
385,6,1,8,3,1.13,121584.96,0,1,2,0,512
386,6,2,4,3,1.5,29250.72,0,1,4,0,128
387,5,6,8,3,2.23,72940.31999999999,0,0,1,500,0
388,5,6,8,3,2.0,113752.8,0,1,2,0,256
389,6,5,16,3,1.42,133679.52,1,0,2,0,512
390,4,4,8,3,3.0,55357.92,0,0,2,1000,0
391,4,4,16,3,3.0,84768.48,0,0,2,1000,256
392,3,2,12,3,2.2,36975.7872,0,1,1,1000,0
393,8,4,8,3,2.7,71874.72,0,0,2,0,256
394,5,2,8,5,2.33,41498.1936,0,0,2,0,256
395,2,1,4,3,1.91,26586.72,0,0,3,0,256
396,6,2,8,3,2.1,65510.9568,0,1,2,0,256
397,6,2,8,3,1.9,49976.64,0,1,1,0,256
398,5,6,8,3,1.78,144495.36,1,0,2,0,256
399,6,1,16,3,1.13,139860.0,0,1,2,0,1000
400,6,2,4,3,2.2,16303.68,0,0,5,1000,0
401,4,4,16,3,2.9,81465.12,0,0,2,1000,256
402,6,2,8,3,2.1,60978.96,0,1,1,1000,256
403,3,2,8,5,2.5,46833.12,0,0,2,0,256
404,8,4,16,3,2.8,119826.72,0,0,2,1000,256
405,4,1,8,3,1.1,99793.44,0,0,2,0,512
406,10,1,16,3,1.2,93080.16,0,0,2,0,512
407,5,1,8,3,1.36,89510.4,0,0,2,0,512
408,6,2,4,3,2.2,21791.52,0,0,4,500,0
409,6,2,2,3,1.15,16221.096,0,0,5,0,0
410,6,6,8,3,2.67,102564.0,0,0,2,0,512
411,6,1,8,3,1.7,103523.04,0,1,2,0,512
412,2,2,4,3,2.1,24988.32,0,0,4,1000,0
413,3,5,8,3,1.6,42038.4528,1,1,2,0,256
414,4,5,8,3,1.27,49443.84,1,1,1,0,256
415,5,2,4,5,2.3,31909.392,0,0,1,0,256
416,5,2,4,3,1.65,36709.92,0,0,4,0,128
417,2,1,8,3,1.43,79920.0,0,0,2,0,256
418,5,2,8,3,2.14,28768.536,0,0,1,1000,0
419,6,1,8,3,1.75,64755.44640000001,0,1,2,0,256
420,6,5,16,3,2.0,101178.72,1,1,2,0,512
421,7,2,6,3,1.4,23922.72,0,1,5,0,0
422,2,2,8,3,2.31,76030.56,0,0,2,0,256
423,4,2,8,5,2.3,31808.16,0,0,4,1000,0
424,5,4,16,3,4.42,149130.72,0,1,2,1000,256
425,5,4,8,3,2.62,61751.52,0,1,2,1000,128
426,5,2,8,3,2.02,60867.072,0,0,2,2000,256
427,5,1,8,5,1.6,58554.72,0,0,2,0,256
428,2,4,12,3,3.35,106506.72,0,0,2,1000,256
429,15,5,4,3,1.16,15930.72,1,1,5,0,32
430,16,3,4,8,1.15,14332.32,0,0,5,0,0
431,6,2,8,3,1.4,53812.8,0,1,2,0,256
432,6,2,4,3,1.7,31914.72,0,1,4,0,128
433,6,6,16,3,2.3,130269.6,0,1,2,0,512
434,6,2,16,3,2.5,130482.72,0,0,2,0,512
435,4,4,8,3,3.2,90309.6,0,0,3,1000,256
436,2,2,4,3,2.1,18488.16,0,0,5,500,0
437,17,1,16,8,1.1,117162.72,1,0,2,0,512
438,6,1,24,3,1.32,126912.96,0,0,2,0,512
439,4,2,4,5,2.0,29783.52,0,0,1,0,256
440,6,2,8,3,2.8,27652.32,0,0,3,1000,0
441,5,2,4,3,2.2,39906.72,0,0,1,0,256
442,6,1,8,3,1.36,76137.12,0,1,1,0,256
443,6,2,4,3,2.2,18594.72,0,0,5,0,128
444,2,4,8,3,2.2,58554.72,0,1,2,1000,128
445,5,2,8,3,1.64,62817.12,0,0,1,0,256
446,3,2,4,5,2.4,23539.104,0,0,1,500,0
447,5,6,8,3,2.23,106187.04,0,0,5,1000,0
448,8,4,8,3,2.2,54757.9872,0,0,1,0,256
449,9,1,16,7,1.25,137941.91999999998,1,0,2,0,512
450,2,2,8,3,1.91,31381.92,0,0,1,0,128
451,5,6,16,3,2.17,105228.0,0,1,2,0,256
452,2,6,8,3,2.31,81731.52,0,1,2,0,512
453,6,2,8,3,1.65,71661.59999999999,0,0,1,0,256
454,5,2,8,3,2.36,52161.12,0,0,2,1000,128
455,5,5,4,3,1.47,25521.12,1,0,5,500,0
456,5,2,8,3,4.42,109010.88,0,1,2,1000,0
457,9,1,4,7,1.252,52693.92,1,0,5,0,128
458,9,1,8,7,1.25,95850.72,1,0,2,0,256
459,2,2,8,3,2.5,34093.872,0,0,4,0,256
460,3,2,4,3,2.23,28984.32,0,0,4,1000,0
461,3,3,4,3,1.4,23176.8,0,0,5,0,128
462,4,2,8,3,2.37,39906.72,0,0,1,1000,0
463,6,2,8,2,1.5,42570.72,0,1,2,0,512
464,6,2,8,3,2.67,111355.2,0,0,2,0,256
